corpus,chunk1,chunk2
igen,ig,en
kell,ke,ll
vagyok,vagy,ok
most,mo,st
tudom,tu,dom
tudom,tud,om
miért,mi,ért
akkor,ak,kor
nagyon,nagy,on
mert,me,rt
minden,min,den
minden,mind,en
amit,am,it
olyan,oly,an
nekem,nek,em
valami,val,ami
valami,vala,mi
majd,ma,jd
mindig,mind,ig
talán,tal,án
maga,ma,ga
köszönöm,köszön,öm
semmi,sem,mi
amikor,ami,kor
amikor,amik,or
szóval,szó,val
neked,nek,ed
hiszem,hi,szem
hiszem,hisz,em
valamit,val,amit
valamit,vala,mit
igaz,ig,az
milyen,mily,en
ilyen,il,yen
ilyen,ily,en
uram,ur,am
őket,ők,et
tudja,tud,ja
egész,eg,ész
sajnálom,sajnál,om
mikor,mi,kor
mikor,mik,or
vannak,van,nak
azért,az,ért
azért,azé,rt
persze,per,sze
mondta,mond,ta
értem,ért,em
valaki,val,aki
aztán,az,tán
aztán,azt,án
engem,en,gem
ezért,ez,ért
velem,vel,em
voltam,volt,am
mondtam,mond,tam
mindent,min,dent
semmit,sem,mit
szerintem,szerint,em
miatt,mia,tt
kérem,ké,rem
kérem,kér,em
jobb,jo,bb
veled,vel,ed
akarok,akar,ok
akarom,aka,rom
akarom,akar,om
erre,er,re
kéne,ké,ne
soha,so,ha
magát,ma,gát
mintha,mint,ha
este,es,te
minket,min,ket
minket,mink,et
szerint,szer,int
várj,vá,rj
hogyan,hog,yan
hogyan,hogy,an
sosem,so,sem
sosem,sos,em
láttam,lát,tam
tudok,tu,dok
tudok,tud,ok
tudtam,tud,tam
istenem,isten,em
akartam,akar,tam
akartam,akart,am
hittem,hitt,em
mondja,mond,ja
egyszer,egy,szer
annyira,annyi,ra
igazán,igaz,án
másik,má,sik
gondoltam,gondol,tam
gondoltam,gondolt,am
tűnik,tű,nik
néhány,né,hány
magam,mag,am
érted,ér,ted
érted,ért,ed
jobban,job,ban
jobban,jobb,an
anya,an,ya
innen,in,nen
rajta,raj,ta
teljesen,teljes,en
magad,mag,ad
három,há,rom
három,hár,om
egyedül,egyed,ül
komolyan,komoly,an
akarod,aka,rod
mondani,mon,dani
mondani,monda,ni
micsoda,mi,csoda
voltál,volt,ál
isten,is,ten
isten,ist,en
mire,mi,re
voltak,volt,ak
holnap,hol,nap
ennek,en,nek
tehát,te,hát
pontosan,pont,osan
pontosan,pontos,an
azok,az,ok
mégis,még,is
fogok,fog,ok
tudjuk,tudj,uk
akarja,akar,ja
erről,er,ről
mondom,mon,dom
mondom,mond,om
látni,lát,ni
haver,ha,ver
fogja,fog,ja
gyorsan,gyors,an
remélem,rem,élem
remélem,remél,em
hallottam,hallott,am
fogom,fog,om
hanem,ha,nem
hanem,han,em
helló,hel,ló
tudni,tud,ni
látom,lá,tom
látom,lát,om
sokat,so,kat
sokat,sok,at
egyet,egy,et
örülök,örül,ök
utolsó,utol,só
mondtad,mond,tad
menni,men,ni
később,késő,bb
mivel,mi,vel
ezen,ez,en
miről,mi,ről
ugyan,ugy,an
magának,magán,ak
sokkal,sok,kal
sokkal,sokk,al
csinálni,csinál,ni
férfi,fér,fi
fontos,font,os
srácok,srác,ok
akit,ak,it
nagyszerű,nagy,szerű
végre,vég,re
annak,an,nak
annak,ann,ak
azon,az,on
éves,év,es
gondolom,gondol,om
tenni,ten,ni
többet,több,et
attól,at,tól
apám,ap,ám
mennem,men,nem
abba,ab,ba
néha,né,ha
biztosan,biztos,an
állj,ál,lj
szükségem,szükség,em
halott,hal,ott
halott,halo,tt
látod,lá,tod
képes,kép,es
fiam,fi,am
szeretem,szeret,em
ezeket,ezek,et
dolgot,dol,got
hová,ho,vá
vagytok,vagy,tok
szerinted,szerint,ed
abban,ab,ban
régi,ré,gi
készen,kés,zen
készen,kész,en
mondott,mond,ott
majdnem,majd,nem
jöttem,jött,em
úgyhogy,úgy,hogy
szabad,szab,ad
hova,ho,va
ahhoz,ah,hoz
ahhoz,ahh,oz
valakit,val,akit
jöjjön,jöjj,ön
valaha,val,aha
valaha,vala,ha
francba,franc,ba
tettem,tett,em
barátom,barát,om
neve,ne,ve
dolgokat,dolgok,at
addig,add,ig
hozzám,hozz,ám
érte,ér,te
miután,mi,után
munka,mun,ka
éppen,ép,pen
éppen,épp,en
amint,am,int
bármit,bár,mit
emlékszem,emlék,szem
jelenti,jelen,ti
mindjárt,mind,járt
miss,mi,ss
fognak,fog,nak
ilyet,ily,et
maradj,mar,adj
maradj,mara,dj
tőlem,től,em
napot,nap,ot
valóban,való,ban
bármi,bár,mi
mennyire,mennyi,re
akár,ak,ár
természetesen,természete,sen
természetesen,természetes,en
akart,ak,art
akart,aka,rt
viszlát,visz,lát
vicces,vicc,es
anyám,any,ám
éjjel,éj,jel
tudta,tud,ta
tett,te,tt
való,va,ló
helyet,hely,et
találtam,talál,tam
találtam,talált,am
eddig,edd,ig
vettem,vett,em
sikerült,si,került
sikerült,siker,ült
csinál,csi,nál
csinál,csin,ál
annyi,ann,yi
mióta,mi,óta
egyszerűen,egyszerű,en
igazad,igaz,ad
élet,él,et
menjen,men,jen
menjen,menj,en
szépen,szép,en
fogod,fo,god
helyes,hel,yes
helyes,hely,es
mást,má,st
tart,ta,rt
végül,vég,ül
halló,hal,ló
hamarosan,hamar,osan
hiszed,hi,szed
hiszed,his,zed
hiszed,hisz,ed
látta,lát,ta
sose,so,se
doktor,dok,tor
maguk,mag,uk
ebből,eb,ből
alig,al,ig
időt,id,őt
egymást,egy,mást
életem,élet,em
muszáj,mu,száj
vagyis,vagy,is
sokáig,soká,ig
kapcsolatban,kapcsolat,ban
szívesen,szíve,sen
szívesen,szíves,en
ismerem,is,merem
ismerem,ismer,em
mellett,melle,tt
önnek,ön,nek
ehhez,eh,hez
ehhez,ehh,ez
marad,mar,ad
rendőrség,rend,őrség
nyugi,nyu,gi
akarta,akar,ta
ennyire,ennyi,re
érti,ér,ti
jönni,jön,ni
rólam,ról,am
kérdés,kérd,és
láttad,lát,tad
keresztül,kereszt,ül
akinek,aki,nek
egyszerű,egy,szerű
őrült,őr,ült
embereket,embere,ket
embereket,emberek,et
gondolja,gondol,ja
erős,er,ős
annyit,an,nyit
szívem,szív,em
azokat,azok,at
mindketten,mind,ketten
kaptam,kap,tam
várjon,vár,jon
várjon,várj,on
amire,ami,re
mindegy,mind,egy
tőled,től,ed
fiatal,fia,tal
fiatal,fiat,al
hello,hel,lo
apja,ap,ja
fene,fe,ne
héten,hé,ten
héten,hét,en
úton,út,on
segítség,segíts,ég
érdekes,érdek,es
számára,szám,ára
akarnak,akar,nak
uraim,ura,im
mindenkinek,mindenki,nek
mármint,már,mint
asszonyom,asszony,om
nálam,nál,am
amiért,ami,ért
ketten,ket,ten
különben,különb,en
része,ré,sze
valahol,val,ahol
valahol,vala,hol
csináltam,csinál,tam
csináltam,csinált,am
fogjuk,fogj,uk
élni,él,ni
ettől,et,től
percet,perc,et
máris,már,is
egyre,egy,re
igazat,igaz,at
egészen,egész,en
mondjuk,mondj,uk
minek,mi,nek
jöttél,jött,él
adni,ad,ni
évvel,év,vel
veszélyes,veszély,es
meleg,mel,eg
hagyja,hagy,ja
halál,hal,ál
lányok,lány,ok
magukat,maguk,at
édesem,édes,em
adott,ad,ott
adja,ad,ja
amiket,ami,ket
amiket,amik,et
régen,ré,gen
régen,rég,en
véget,vég,et
mondok,mon,dok
mondok,mond,ok
mondtál,mond,tál
valahogy,val,ahogy
valahogy,vala,hogy
barátok,ba,rátok
barátok,barát,ok
végig,vég,ig
dehogy,de,hogy
bocsi,bo,csi
tudtad,tud,tad
kapott,kap,ott
egyébként,egyéb,ként
helyen,hel,yen
helyen,hely,en
anyu,an,yu
jönnek,jön,nek
ölni,öl,ni
látja,lát,ja
vajon,va,jon
vajon,vaj,on
jézusom,jézus,om
szeretnél,szeret,nél
okos,ok,os
mike,mi,ke
hoztam,hoz,tam
biztonságban,biztonság,ban
onnan,onn,an
ismeri,is,meri
bárcsak,bár,csak
értettem,ér,tettem
értettem,ért,ettem
értettem,értett,em
segíthetek,segít,hetek
ugyanaz,ugyan,az
napja,nap,ja
mindannyian,mind,annyian
érzed,ér,zed
szeretne,szeret,ne
csapat,csa,pat
csapat,csap,at
gondol,gon,dol
lássuk,láss,uk
ennél,en,nél
ismered,is,mered
ismered,ismer,ed
annál,an,nál
annál,ann,ál
egészet,egész,et
merre,mer,re
folyton,folyt,on
rólad,ról,ad
senkinek,senki,nek
barátja,barát,ja
valakinek,val,akinek
valakinek,valaki,nek
magára,mag,ára
halt,ha,lt
ezer,ez,er
tartok,tart,ok
szükséged,szükség,ed
fura,fu,ra
város,vár,os
szeret,szer,et
városban,város,ban
lassan,las,san
nézni,néz,ni
számomra,számom,ra
imádom,imád,om
helyre,hely,re
peter,pet,er
lényeg,lény,eg
amúgy,am,úgy
miközben,mi,közben
tettél,tett,él
észre,ész,re
maradjon,mar,adjon
maradjon,marad,jon
maradjon,maradj,on
közül,köz,ül
hallom,hall,om
gondolok,gondol,ok
amivel,ami,vel
csinálja,csinál,ja
tudott,tud,ott
életet,él,etet
életet,élet,et
szerettem,szer,ettem
látok,lá,tok
látok,lát,ok
hozott,hoz,ott
azóta,az,óta
végén,vég,én
estét,es,tét
nyugodtan,nyugodt,an
anyja,any,ja
jutott,jut,ott
drága,dr,ága
hagyjuk,hagyj,uk
bizonyos,bizony,os
üzenetet,üzen,etet
üzenetet,üzenet,et
egyes,eg,yes
egyes,egy,es
próbáltam,próbál,tam
próbáltam,próbált,am
napon,nap,on
tudnak,tud,nak
azután,az,után
baja,ba,ja
hölgyem,hölgy,em
találni,talál,ni
szuper,szu,per
akivel,aki,vel
látott,lát,ott
állt,ál,lt
hívott,hív,ott
bocsánatot,bocsánat,ot
játszani,játsza,ni
magas,mag,as
házban,ház,ban
james,jam,es
állok,áll,ok
szereted,szeret,ed
miféle,mi,féle
adok,ad,ok
hiszen,his,zen
hiszen,hisz,en
normális,normál,is
nyomás,nyom,ás
mások,má,sok
mások,más,ok
szeretné,szeret,né
csinálok,csinál,ok
maradni,mar,adni
maradni,marad,ni
csináljuk,csinálj,uk
lányom,lá,nyom
lányom,lány,om
módon,mód,on
rajtam,raj,tam
rajtam,rajt,am
hagyom,hagy,om
nálad,nál,ad
világon,világ,on
tehetek,te,hetek
hölgyeim,hölgye,im
hogyne,hogy,ne
hála,há,la
házat,ház,at
ennyit,en,nyit
ügyet,ügy,et
hadnagy,had,nagy
utálom,utál,om
hagyni,hagy,ni
hajó,ha,jó
enni,en,ni
tennem,ten,nem
mondjam,mond,jam
mondjam,mondj,am
valódi,való,di
adtam,ad,tam
mennyit,men,nyit
mennyit,menny,it
