corpus,chunk1,chunk2,chunk3,chunk4,chunk5
páncélátütőképesség,pán,cé,lát,ütő,képesség
segédadóállomás,segéd,adó,ál,lom,ás
szakaszkapcsolóállomás,szakasz,kapcsoló,ál,lom,ás
vészjelzőkészülék,vész,jelzők,ész,ül,ék
jeladókészülék,jel,adók,ész,ül,ék
gázcseppfolyósító,gáz,csepp,folyó,sí,tó
színésztársaság,szín,észt,ár,sas,ág
halottbúcsúztatás,halott,bú,csúz,tat,ás
állatvásár,ál,la,tv,ás,ár
szikratávírónál,szikra,táv,ír,ón,ál
szovjetköztársaság,szovjet,közt,ár,sas,ág
adóvégrehajtó,ad,óv,ég,re,hajtó
tanácsköztársaság,tanács,közt,ár,sas,ág
büntetőzászlóalj,büntet,őz,ász,ló,alj
állatélettani,ál,la,tél,etta,ni
távírókészülék,táv,írók,ész,ül,ék
biztosítandó,biz,to,sí,tan,dó
csőfoglalatpecek,cső,fog,la,lat,pecek
teljesítményerősítő,teljesít,mé,nyerő,sí,tő
tördelőszerkesztő,tördel,ősz,erk,esz,tő
állatvásártér,ál,la,tv,ás,ártér
rádióvevőkészülék,rádió,vevők,ész,ül,ék
népköztársaság,nép,közt,ár,sas,ág
