corpus,chunk1,chunk2,chunk3,chunk4,chunk5
ostromlöveganyag,ostrom,löveg,anyag,,
élelmiszerellátás,élelmi,szerel,látás,,
szentjánosbogár,szent,jános,bogár,,
kulcshoronyvezeték,kulcs,horony,vezeték,,
torzsmáglyaégetés,torzs,máglya,égetés,,
szentjánoskenyér,szent,jános,kenyér,,
olívabogyószüret,olíva,bogyó,szüret,,
csónakcsatlókötél,csónak,csatló,kötél,,
selyemcsipkefajta,selyem,csipke,fajta,,
ecetsavetilészter,ecetsav,etil,észter,,
kötőszalaglazulás,kötő,szalag,lazulás,,
szerteszaggat,szer,tesz,aggat,,
oszlopsortalapzat,oszlop,sort,alapzat,,
kormánysúlyzsák,kormány,súly,zsák,,
autóbuszváróhely,autóbusz,váró,hely,,
szerszámosláda,szer,számos,láda,,
szerszámoskamra,szer,számos,kamra,,
tiszteletreméltóság,tisztel,etre,méltóság,,
tiszteletreméltóság,tisztelet,remélt,óság,,
mérettartóság,méret,tart,óság,,
dicséretreméltó,dicsér,etre,méltó,,
csillagboltozaton,csillag,boltoz,aton,,
rókafarkfűrész,róka,fark,fűrész,,
helycserélősdi,hely,cser,élősdi,,
szárnyburkolatmező,szárny,burkolat,mező,,
rasztermélynyom,raszter,mély,nyom,,
egypártrendszer,egypár,trend,szer,,
hisztériázik,hisz,téri,ázik,,
szerteszakad,szer,tesz,akad,,
kardmarkolaton,kard,markol,aton,,
szeretetreméltóság,szeret,etre,méltóság,,
vértörvényszék,vért,örvény,szék,,
szeretetreméltóság,szeretet,remélt,óság,,
kottavonalhúzó,kotta,vonal,húzó,,
zarándokkalap,zarán,dokk,alap,,
bolyhozóhenger,boly,hozó,henger,,
szemfényvesztés,szem,fény,vesztés,,
szikkativitás,szik,kati,vitás,,
csillagtestmérő,csillag,test,mérő,,
köztelekrész,közt,elek,rész,,
székpénzszedő,szék,pénz,szedő,,
szemfényvesztő,szem,fény,vesztő,,
kormánytőkesaru,kormány,tőke,saru,,
cölöpfejtoldás,cölöp,fejt,oldás,,
végigeszeget,végi,gesz,eget,,
szénvagyoncsökkenés,szén,vagyon,csökkenés,,
végigaraszol,végi,gara,szol,,
kormányszárnyílás,kormány,szár,nyílás,,
füstmennyiségmérő,füst,mennyiség,mérő,,
szerzsettszövet,szer,zsett,szövet,,
tüdőszanatórium,tüdős,zana,tórium,,
szerszámostáska,szer,számos,táska,,
szivattyúszívólyuk,szivattyú,szívó,lyuk,,
páraképződésgátló,pára,képződés,gátló,,
szeretetreméltó,szeret,etre,méltó,,
helytartóság,hely,tart,óság,,
világéletében,világ,élet,ében,,
szegmentzsilipkapu,szeg,ment,zsilipkapu,,
szürkemókusprém,szürke,mókus,prém,,
kecskeszemtölgyfa,kecske,szem,tölgyfa,,
kényszereladás,kény,szerel,adás,,
szolgálatára,szol,gála,tára,,
karikacsapás,kari,kacs,apás,,
gondolatrendszer,gondola,trend,szer,,
szilveszteri,szil,vesz,teri,,
darumacskakocsi,daru,macska,kocsi,,
hordrugókötés,hord,rugó,kötés,,
szilveszterest,szil,veszte,rest,,
szerteszéjjel,szer,tesz,éjjel,,
szentolajtartó,szent,olaj,tartó,,
cseppfolyósodó,csepp,folyó,sodó,,
szerteszállít,szer,tesz,állít,,
mélyretekintő,mély,retek,intő,,
bányarészjegy,bánya,rész,jegy,,
szerteszakadozik,szer,tesz,akadozik,,
színtartóság,szín,tart,óság,,
szívremegtető,szív,remeg,tető,,
csíkrendszabó,csík,rend,szabó,,
gyerekelőadás,gyere,kelő,adás,,
gondviselésszerű,gond,visel,ésszerű,,
tangensérintőpont,tangens,érintő,pont,,
tiszteletreméltó,tisztel,etre,méltó,,
gondviselésszerűen,gond,visel,ésszerűen,,
szakszervezetet,szak,szervez,etet,,
sólyaszánkótalp,sólya,szánkó,talp,,
hegyvonulatos,hegy,vonul,atos,,
élethalálharc,élet,halál,harc,,
mészhomoktégla,mész,homok,tégla,,
hengercsaprózsa,henger,csap,rózsa,,
szerteszéled,szer,tesz,éled,,
labdarúgósport,labda,rúgós,port,,
baradicskóró,bara,dics,kóró,,
cinkedénykészítő,cink,edény,készítő,,
keresztszárkarika,kereszt,szár,karika,,
szűrőprésiszap,szűrő,prés,iszap,,
