corpus,chunk1,chunk2,chunk3,chunk4,chunk5
szakaszkapcsolóállomás,szakasz,kapcsoló,állomás,,
csírázóképességvizsgálat,csírázó,képesség,vizsgálat,,
tengelykeresztmetszet,tengely,kereszt,metszet,,
épületkarbantartás,épület,karban,tartás,,
szegecskovácstűzhely,szegecs,kovács,tűzhely,,
selyemhernyótenyésztés,selyem,hernyó,tenyésztés,,
szennycsatornarendszer,szenny,csatorna,rendszer,,
motorkerékpársport,motor,kerékpár,sport,,
pamutvelúrszövet,pamut,velúr,szövet,,
gyapjúvelúrszövet,gyapjú,velúr,szövet,,
gyöngyhalászbárka,gyöngy,halász,bárka,,
gyorstehervonat,gyors,teher,vonat,,
nyersanyagmennyiség,nyers,anyag,mennyiség,,
teherpályaudvar,teher,pálya,udvar,,
kulcshoronyvezeték,kulcs,horony,vezeték,,
mikromilliméter,mikro,milli,méter,,
cipészkelléküzlet,cipész,kellék,üzlet,,
mellékpajzsmirigy,mellék,pajzs,mirigy,,
szarvasgombatelep,szarvas,gomba,telep,,
fogaskerékmarás,fogas,kerék,marás,,
csipkerózsabogyó,csipke,rózsa,bogyó,,
takarékbetétkönyv,takar,ékbetét,könyv,,
nyilvántartókönyv,nyilván,tartó,könyv,,
sátorponyvazsineg,sátor,ponyva,zsineg,,
motorkerékpáros,motor,kerék,páros,,
tartalékalkatrészek,tartalék,alkat,részek,,
tárgymikrométer,tárgy,mikro,méter,,
fenékhorogzsinór,fenék,horog,zsinór,,
nyelvjárásterület,nyelv,járás,terület,,
élelmiszerellátás,élelmi,szerel,látás,,
bruttóregisztertonna,bruttó,regiszter,tonna,,
szentjánoskenyér,szent,jános,kenyér,,
rendezőpályaudvar,rendező,pálya,udvar,,
versenymotorcsónak,verseny,motor,csónak,,
fenolgyantaanyag,fenol,gyanta,anyag,,
személypályaudvar,személy,pálya,udvar,,
szarvasmarhatuberkulózis,szarvas,marha,tuberkulózis,,
tollaslabdajáték,tollas,labda,játék,,
vászonszegőszalag,vászon,szegő,szalag,,
gyufacímkegyűjtő,gyufa,címke,gyűjtő,,
gyorsteherkocsi,gyors,teher,kocsi,,
centiméterszalag,centi,méter,szalag,,
folyószámlakövetelés,folyó,számla,követelés,,
hajtófogaskerék,hajtó,fogas,kerék,,
szesztartalommérés,szesz,tartalom,mérés,,
nyelvjáráskutató,nyelv,járás,kutató,,
selyemcsipkefajta,selyem,csipke,fajta,,
fehéroroszország,fehér,orosz,ország,,
pirosmacskagyökér,piros,macska,gyökér,,
büntetőtörvénykönyv,büntető,törvény,könyv,,
szalvétaasztalkendő,szalvéta,asztal,kendő,,
agyonfogyókúrázik,agyon,fogyó,kúrázik,,
dobostortaszelet,dobos,torta,szelet,,
gyászistentisztelet,gyász,isten,tisztelet,,
torzsmáglyaégetés,torzs,máglya,égetés,,
postatisztviselő,posta,tiszt,viselő,,
segédtisztviselő,segéd,tiszt,viselő,,
kosárlabdacsapat,kosár,labda,csapat,,
ezüstantimonszulfid,ezüst,antimon,szulfid,,
fogaskerékhajtás,fogas,kerék,hajtás,,
karosszériagyártó,karos,széria,gyártó,,
barackrózsaszínű,barack,rózsa,színű,,
fáklyaversenyfutás,fáklya,verseny,futás,,
középosztályszerűség,közép,osztály,szerűség,,
hatáskeresztmetszet,hatás,kereszt,metszet,,
viharjelzőzászló,vihar,jelző,zászló,,
takarékbetétszámla,takar,ékbetét,számla,,
végigmennydörög,végig,menny,dörög,,
sodronykötélpálya,sodrony,kötél,pálya,,
gyufacímkegyűjtés,gyufa,címke,gyűjtés,,
csigavonalmenet,csiga,vonal,menet,,
kéményseprőnyílás,kémény,seprő,nyílás,,
szentjánosbogár,szent,jános,bogár,,
csigakerékhajtás,csiga,kerék,hajtás,,
teherkocsirakomány,teher,kocsi,rakomány,,
magántisztviselő,magán,tiszt,viselő,,
bútorselyemszövet,bútor,selyem,szövet,,
bridzsjegyzetfüzet,bridzs,jegyzet,füzet,,
turbósugárhajtás,turbó,sugár,hajtás,,
keresztcsontfájás,kereszt,csont,fájás,,
telekkönyvvezető,telek,könyv,vezető,,
mikrométercsavar,mikro,méter,csavar,,
fenékvontatókötél,fenék,vontató,kötél,,
csillagvirágszirup,csillag,virág,szirup,,
fodormentacseppek,fodor,menta,cseppek,,
keresztrejtvényfejtő,kereszt,rejtvény,fejtő,,
fizetővendéglátás,fizető,vendég,látás,,
szikraspektrumvonal,szikra,spektrum,vonal,,
olívabogyószüret,olíva,bogyó,szüret,,
karosszérialakatos,karos,széria,lakatos,,
homlokfogaskerék,homlok,fogas,kerék,,
szentjánoskenyérfa,szent,jános,kenyérfa,,
kosárlabdajátékos,kosár,labda,játékos,,
fürdőszobaszekrény,fürdő,szoba,szekrény,,
pamutvelurszövet,pamut,velur,szövet,,
tengelykeresztfurat,tengely,kereszt,furat,,
agyaggalamblövészet,agyag,galamb,lövészet,,
törlőrongyanyag,törlő,rongy,anyag,,
gennytüszőképződés,genny,tüsző,képződés,,
magánhangzókészlet,magán,hangzó,készlet,,
csonthártyagyulladás,csont,hártya,gyulladás,,
kocsiszekrénytartó,kocsi,szekrény,tartó,,
tisztviselőtelep,tiszt,viselő,telep,,
jegyzőkönyvvezető,jegyző,könyv,vezető,,
gyapjúvelurszövet,gyapjú,velur,szövet,,
másodnyersanyag,másod,nyers,anyag,,
államkölcsönkötvény,állam,kölcsön,kötvény,,
pamutszegőszalag,pamut,szegő,szalag,,
embersportfogadás,ember,sport,fogadás,,
gyűjtőpostahivatal,gyűjtő,posta,hivatal,,
nyomóformafedél,nyomó,forma,fedél,,
négyzetcentiméter,négyzet,centi,méter,,
festékszórópisztoly,festék,szóró,pisztoly,,
rendőrtisztviselő,rendőr,tiszt,viselő,,
salakpályaverseny,salak,pálya,verseny,,
karosszériagyártás,karos,széria,gyártás,,
szembeállíthatóság,szembe,állít,hatóság,,
csónakcsatlókötél,csónak,csatló,kötél,,
ostromlöveganyag,ostrom,löveg,anyag,,
pajzsmirigyzavar,pajzs,mirigy,zavar,,
barackvirágszínű,barack,virág,színű,,
nyilvántartóiroda,nyilván,tartó,iroda,,
röntgensugárkezelés,röntgen,sugár,kezelés,,
fogaskerékgyalu,fogas,kerék,gyalu,,
higanymilliméter,higany,milli,méter,,
szegycsonttaraj,szegy,csont,taraj,,
szaruhártyahomály,szaru,hártya,homály,,
termőtalajréteg,termő,talaj,réteg,,
másodunokatestvér,másod,unoka,testvér,,
rohammunkamódszer,roham,munka,módszer,,
milliméterpapír,milli,méter,papír,,
közlőfogaskerék,közlő,fogas,kerék,,
kocsikapcsolóhorog,kocsi,kapcsoló,horog,,
csomagtartófedél,csomag,tartó,fedél,,
folyószámlahitel,folyó,számla,hitel,,
négyzetmilliméter,négyzet,milli,méter,,
golyójátékpálya,golyó,játék,pálya,,
fürdőszobaszőnyeg,fürdő,szoba,szőnyeg,,
törzsrészvény,törzs,rész,vény,,
hordrugóbilincs,hord,rugó,bilincs,,
páncélszerkény,páncél,szer,kény,,
anyaszentegyház,anya,szent,egyház,,
kapcsolószerelvény,kapcsoló,szerel,vény,,
rejtvényfajta,rejt,vény,fajta,,
csillagtestmérő,csillag,test,mérő,,
légibombasorozat,légi,bomba,sorozat,,
agyondicsérés,agyon,dics,érés,,
hajófenékrekesz,hajó,fenék,rekesz,,
bányafenntartás,bánya,fenn,tartás,,
szívbillentyűhiba,szív,billentyű,hiba,,
élelmiszerüzlet,élelmi,szer,üzlet,,
szabályrendszer,szabály,rend,szer,,
kasztrendszer,kaszt,rend,szer,,
rókaprémutánzat,róka,prém,utánzat,,
vendéglátóipar,vendég,látó,ipar,,
végigaraszol,végi,gara,szol,,
félreteszeget,félre,tesz,eget,,
szőrszitaszövet,szőr,szita,szövet,,
szeméremszőrzet,szem,érem,szőrzet,,
hálókocsifülke,háló,kocsi,fülke,,
mélyhangszóró,mély,hang,szóró,,
mérettartóság,méret,tart,óság,,
termékismertető,termék,ismer,tető,,
hajóroncsrabló,hajó,roncs,rabló,,
illatszerárus,illat,szer,árus,,
emberföldrajz,ember,föld,rajz,,
kézimunkadoboz,kézi,munka,doboz,,
szakmunkásvizsga,szak,munkás,vizsga,,
helyreállítható,helyre,állít,ható,,
élelmiszerraktár,élelmi,szer,raktár,,
díszzsebkendő,dísz,zseb,kendő,,
olajsűrűségmérő,olaj,sűrűség,mérő,,
vegytfüstszekrény,vegyt,füst,szekrény,,
gyapotültetvény,gyapot,ültet,vény,,
aranyfüsthulladék,arany,füst,hulladék,,
lövészárokrendszer,lövészárok,rend,szer,,
lövészárokrendszer,lövész,árok,rendszer,,
szeretetvendégség,szer,etet,vendégség,,
pályafenntartás,pálya,fenn,tartás,,
tanácsrendszer,tanács,rend,szer,,
hadifogolytárs,hadi,fogoly,társ,,
kéziszerszám,kézi,szer,szám,,
rendszeretet,rend,szer,etet,,
menyasszonyjelölt,meny,asszony,jelölt,,
végigugrókötél,végig,ugró,kötél,,
frekvenciahintázás,frekvencia,hint,ázás,,
részvényjegyzés,rész,vény,jegyzés,,
helytartótanács,hely,tartó,tanács,,
szerelvényvizsgálat,szerel,vény,vizsgálat,,
csereszabatos,csere,szab,atos,,
fonalszakadás,fonal,szak,adás,,
nyeregkápagomb,nyereg,kápa,gomb,,
ökörszemablak,ökör,szem,ablak,,
tyúkszemtapasz,tyúk,szem,tapasz,,
kandallószerszámok,kandalló,szer,számok,,
köszvényhajlam,kösz,vény,hajlam,,
szerszámkamra,szer,szám,kamra,,
részvényplakett,rész,vény,plakett,,
féregirtószer,féreg,irtó,szer,,
középpontkereső,közép,pont,kereső,,
szeretetcsomag,szer,etet,csomag,,
párkányszelvény,párkány,szel,vény,,
edényrendszer,edény,rend,szer,,
sejtrendszer,sejt,rend,szer,,
rangszervezet,rang,szer,vezet,,
olajfajsúlymérő,olaj,fajsúly,mérő,,
szeretetreméltóság,szeretet,remélt,óság,,
szeretetreméltóság,szeret,etre,méltóság,,
rétegszervezet,réteg,szer,vezet,,
egypártrendszer,egypár,trend,szer,,
gondviselésszerű,gond,visel,ésszerű,,
tengerészláda,teng,erész,láda,,
fúrólyukszivattyú,fúró,lyuk,szivattyú,,
számrendszer,szám,rend,szer,,
pártszolgálatos,párt,szolgál,atos,,
bányarészvény,bánya,rész,vény,,
zablaszájrész,zabla,száj,rész,,
nyersolajmotor,nyers,olaj,motor,,
kötőhártyagyulladás,kötő,hártya,gyulladás,,
földrajztanár,föld,rajz,tanár,,
szilveszterest,szil,veszte,rest,,
szálkeresztgyűrű,szál,kereszt,gyűrű,,
állambiztonsági,állam,bizton,sági,,
pénzrendszer,pénz,rend,szer,,
kényszereladás,kény,szerel,adás,,
kézimunkakosár,kézi,munka,kosár,,
rókafarkfűrész,róka,fark,fűrész,,
élelmiszersegély,élelmi,szer,segély,,
holtsúlytartály,holt,súly,tartály,,
bankjegyhamisító,bank,jegy,hamisító,,
haditörvényszék,hadi,törvény,szék,,
tengerészgyalogság,teng,erész,gyalogság,,
kényszerlicit,kény,szer,licit,,
folyamrendőrség,folyam,rend,őrség,,
hazaszeretet,haza,szer,etet,,
élelmiszeradag,élelmi,szer,adag,,
karikacsapás,kari,kacs,apás,,
részvényutalvány,rész,vény,utalvány,,
dallamhangszer,dallam,hang,szer,,
rendszertöltő,rend,szer,töltő,,
keresztcsonttáji,kereszt,csont,táji,,
végigigazoltat,végig,igaz,oltat,,
újságárusbódé,újság,árus,bódé,,
társadalomszervezet,társadalom,szer,vezet,,
bankjegyforgalom,bank,jegy,forgalom,,
védőszemüveges,védő,szem,üveges,,
széliránymutató,szél,irány,mutató,,
gerincvelőgyulladás,gerinc,velő,gyulladás,,
egybeszedeget,egybe,szed,eget,,
oszloprendszer,oszlop,rend,szer,,
sejtalapanyag,sejt,alap,anyag,,
vészjelzőkészülék,vész,jelző,készülék,,
kényszerérett,kény,szer,érett,,
váltótörvényszék,váltó,törvény,szék,,
illatszerkészítő,illat,szer,készítő,,
tengerészszolgálat,teng,erész,szolgálat,,
örökhaszonbérlet,örök,haszon,bérlet,,
gyerekelőadás,gyere,kelő,adás,,
fogószerszám,fogó,szer,szám,,
lakókocsitábor,lakó,kocsi,tábor,,
klikkrendszer,klikk,rend,szer,,
ólomfehérgyártás,ólom,fehér,gyártás,,
kötőalkatrész,kötő,alkat,rész,,
kalóriatartalom,kalória,tart,alom,,
virágfüzérdísz,virág,füzér,dísz,,
vörösvérsejtszám,vörös,vérsejt,szám,,
rózsafüzérszem,rózsa,füzér,szem,,
neonfényreklám,neon,fény,reklám,,
kerékrendszer,kerék,rend,szer,,
egyenletrendszer,egyenlet,rend,szer,,
dugóhúzómentes,dugó,húzó,mentes,,
olajtüzelőanyag,olaj,tüzelő,anyag,,
széntartalom,szén,tart,alom,,
pipaszárlábak,pipa,szár,lábak,,
kormányrendszer,kormány,rend,szer,,
selyemhernyógubó,selyem,hernyó,gubó,,
szénvagyoncsökkenés,szén,vagyon,csökkenés,,
szakközépiskola,szak,közép,iskola,,
parasztforradalom,paraszt,forrad,alom,,
nyelvészkongresszus,nyel,vész,kongresszus,,
tartalommutató,tart,alom,mutató,,
szélmalomszárny,szél,malom,szárny,,
élelmiszerbolt,élelmi,szer,bolt,,
keresztrejtvény,kereszt,rejt,vény,,
teknősbékahalász,teknős,béka,halász,,
kapacitálható,kapa,citál,ható,,
oszlopsortalapzat,oszlop,sort,alapzat,,
hangversenyzongora,hang,verseny,zongora,,
szélvédőüveg,szél,védő,üveg,,
keresztszelvény,kereszt,szel,vény,,
kazánkőoldószer,kazánkő,oldó,szer,,
szeghúzófogó,szeg,húzó,fogó,,
kényszerkézbesítés,kény,szer,kézbesítés,,
páraképződésgátló,pára,képződés,gátló,,
öntőformakeret,öntő,forma,keret,,
könyvkötővászon,könyv,kötő,vászon,,
ásványszaktudós,ásvány,szak,tudós,,
helytartósági,hely,tartó,sági,,
értéktöbbletráta,érték,többlet,ráta,,
festékesdoboz,fest,ékes,doboz,,
nyírfajdtyúk,nyír,fajd,tyúk,,
jegyszelvény,jegy,szel,vény,,
tolóablakretesz,toló,ablak,retesz,,
nyakkendőcsíptető,nyak,kendő,csíptető,,
földrengéstudós,föld,rengés,tudós,,
kényszervágás,kény,szer,vágás,,
autószemüveg,autó,szem,üveg,,
tisztviselőféle,tiszt,viselő,féle,,
agyonrejtjelez,agyon,rejt,jelez,,
szentírásmagyarázó,szent,írás,magyarázó,,
csíkrendszabó,csík,rend,szabó,,
szakadásálló,szak,adás,álló,,
vaníliaültetvény,vanília,ültet,vény,,
partraszállóhely,partra,szálló,hely,,
szívbántalom,szív,bánt,alom,,
településhely,telep,ülés,hely,,
szerszámedző,szer,szám,edző,,
szélerősségmérő,szél,erősség,mérő,,
szeméremsértő,szem,érem,sértő,,
reményvesztett,remény,vesz,tett,,
súlybarométer,súly,barom,éter,,
szerszámláda,szer,szám,láda,,
ugrásfüggvény,ugrás,függ,vény,,
olajültetvény,olaj,ültet,vény,,
kábítószerárus,kábító,szer,árus,,
tengerészaltiszt,teng,erész,altiszt,,
harckocsiárok,harc,kocsi,árok,,
hazatranszportál,haza,transz,portál,,
bolyhozóhenger,boly,hozó,henger,,
világéletében,világ,élet,ében,,
köztelekrész,közt,elek,rész,,
gyeptéglavágó,gyep,tégla,vágó,,
nyakkendőcsíptető,nyakkendő,csíp,tető,,
fényérzékenységmérés,fény,érzékenység,mérés,,
kézimunkáskosár,kézi,munkás,kosár,,
motorüzemanyag,motor,üzem,anyag,,
