a	noun,det_def
nem	noun,neg
az	noun_pron,det_def
hogy	adv,con
és	con
egy	adj_num,det_indef
van	vrb
ez	noun_pron
is	con
de	con
meg	prv,con
csak	con
ha	noun,con
mi	noun_pron,noun
én	noun_pron,noun
azt	UNK
volt	noun,vrb,adj
igen	noun,con
vagy	vrb,con
kell	vrb
el	prv
itt	adv
már	con
még	con
ne	neg
te	noun_pron
ki	noun_pron,prv
mit	noun_pron,noun
ezt	noun_pron
vagyok	vrb
most	adv,con
jó	adj
tudom	vrb
úgy	adv
miért	con,noun_pron,noun
akkor	adv
mint	adv,con
ő	noun_pron,noun
jól	adj
lesz	vrb
nagyon	adv,adj
nincs	vrb
mert	con,vrb
minden	noun,noun_ind,det
sem	neg
amit	noun_pron
olyan	adj_wh
rendben	noun
így	con
be	prv
volna	vrb
oké	sentint,noun
nekem	noun_pron
le	prv
fel	prv
tudod	vrb
ott	adv
lehet	vrb
valami	noun_pron,adj
majd	con,adv
mindig	adv,noun_ind,noun,det
talán	adv
maga	noun_ref_SG_3
köszönöm	vrb
semmi	noun_pron,noun
hát	noun
aki	noun_pron
amikor	adv,noun_pron
hol	adv
neki	noun_pron,prv
szóval	adv,noun
neked	noun_pron
ami	noun_pron
kis	adj
hé	sentint
tényleg	adv
hiszem	vrb
elég	noun,adv,vrb
valamit	noun_pron,adj
fog	noun,vrb
lenne	vrb
ó	sentint,noun
igaz	adj
rá	noun_pron,prv
vele	noun_pron
milyen	adj_wh
ilyen	adj_wh
ide	adv,prv
biztos	noun,adj
uram	noun
őket	noun_pron
vissza	prv,adv
nagy	adj
tudja	vrb
ma	noun,adv
egész	adj
sajnálom	vrb
nos	con
mikor	adv,noun_pron,noun
vagyunk	vrb
gyerünk	vrb
vannak	vrb
azért	noun_pron,con
ember	noun
történt	vrb
persze	con
túl	post,adv,prv
sok	adj_num
mondta	vrb
két	adj_num
értem	noun_pron,vrb
gyere	vrb
szia	sentint
valaki	noun_pron
ahogy	adv
aztán	con
pedig	con
kicsit	adj
engem	noun_pron
ezért	noun_pron,con
velem	noun_pron
arra	adv
voltam	vrb
mondtam	vrb
ugye	con
mindent	noun
őt	noun_pron
na	sentint
kellett	vrb
új	adj
más	adj,noun
semmit	noun_pron,noun
benne	noun_pron
se	neg
nézd	vrb
akarsz	vrb
szerintem	noun_pron
miatt	post
kérem	vrb
jobb	adj,noun
veled	noun_pron
akarok	vrb
akarom	vrb
erre	adv
több	adj_num
kérlek	vrb
baj	noun
mindenki	noun
legyen	vrb
kéne	vrb
soha	neg
menj	vrb
nap	noun
akar	vrb
magát	noun_ref_SG_3
együtt	post,adv,prv
rám	noun_pron
senki	noun_pron
szép	adj
át	post,prv
első	adj_num,adj
mintha	con
pár	noun,adj_num
rossz	adj
este	noun,adv
ezek	noun_pron
minket	noun_pron,noun
után	post
emberek	noun
téged	noun_pron
róla	noun_pron
szerint	post
várj	vrb
hogyan	adv
újra	prv,adj
sosem	neg
láttam	vrb
tudok	vrb
tudtam	vrb
istenem	noun
ön	noun
kellene	vrb
dolog	noun
ja	sentint
akartam	vrb
hittem	vrb
mondja	vrb
egyszer	adv,adj_num
annyira	adj_num_wh
igazán	adv,noun,adj
oda	adv,prv
mondd	vrb
amíg	adv,con
másik	noun_pron,noun
apa	noun
egyik	noun_pron
lenni	vrb
tessék	vrb
megyek	vrb
gondoltam	vrb
tűnik	vrb
lett	noun,vrb,adj
néhány	adj_num_wh,adj
magam	noun_ref_SG_1
inkább	adv
érted	noun_pron,vrb
jobban	adj,noun
anya	noun
innen	post,adv
saját	adj
rajta	noun_pron,prv
ezzel	noun_pron
épp	adv
alatt	post
ebben	noun_pron,noun
elnézést	noun,vrb
úr	noun
legjobb	adj,noun
teljesen	adj
figyelj	vrb
tud	vrb
magad	noun_ref_SG_2
három	adj_num
egyetlen	adj
hozzá	noun_pron,prv
megy	vrb
jön	vrb
mielőtt	adv
szó	noun
mind	noun_ind,noun,det
egyedül	adv,adj_num,noun
menjünk	vrb
komolyan	adj
akarod	vrb
mondani	vrb
micsoda	noun
akik	noun_pron
voltál	vrb
isten	noun
mire	adv,noun_pron,noun
tovább	adv,prv
előtt	post
vége	noun
voltak	vrb,adj
ahol	adv
ők	noun_pron
hadd	adv
nekünk	noun_pron
holnap	noun,adv
szeretném	vrb
nő	noun,vrb
honnan	adv
nélkül	post,adv
ennek	noun_pron
tehát	con
pontosan	adj,noun
azok	noun_pron
áll	noun,vrb
dr.	abr
először	adv,adj_num
mégis	con
fogok	vrb
tudjuk	vrb
csinálsz	vrb
azzal	noun_pron
remek	noun,adj
