corpus,chunk1,chunk2,chunk3,chunk4,chunk5
vagyok,v,a,g,y,ok
vagyok,v,a,g,yo,k
vagyok,va,g,y,o,k
tudom,t,u,d,o,m
miért,m,i,é,r,t
akkor,a,k,k,o,r
nagyon,n,a,g,y,on
nagyon,n,a,g,yo,n
nagyon,na,g,y,o,n
nincs,n,i,n,c,s
minden,m,i,n,d,en
minden,m,i,n,de,n
minden,m,in,d,e,n
minden,mi,n,d,e,n
olyan,o,l,y,a,n
rendben,r,e,n,db,en
rendben,r,en,d,b,en
rendben,r,en,db,e,n
rendben,r,end,b,e,n
rendben,re,n,d,b,en
rendben,re,n,db,e,n
rendben,ren,d,b,e,n
volna,v,o,l,n,a
nekem,n,e,k,e,m
tudod,t,u,d,o,d
valami,v,a,l,a,mi
valami,v,a,l,am,i
valami,v,a,la,m,i
valami,v,al,a,m,i
valami,va,l,a,m,i
mindig,m,i,n,d,ig
mindig,m,i,n,di,g
mindig,m,in,d,i,g
mindig,mi,n,d,i,g
talán,t,a,l,á,n
köszönöm,kö,s,z,ön,öm
köszönöm,kösz,ö,n,ö,m
semmi,s,e,m,m,i
amikor,a,m,i,k,or
amikor,a,m,i,ko,r
amikor,a,mi,k,o,r
amikor,am,i,k,o,r
szóval,s,z,ó,v,al
szóval,s,z,ó,va,l
neked,n,e,k,e,d
tényleg,t,én,y,l,eg
hiszem,h,i,s,z,em
hiszem,h,is,z,e,m
hiszem,hi,s,z,e,m
valamit,v,a,l,a,mit
valamit,v,a,l,am,it
valamit,v,a,l,ami,t
valamit,v,a,la,m,it
valamit,v,a,la,mi,t
valamit,v,a,lam,i,t
valamit,v,al,a,m,it
valamit,v,al,a,mi,t
valamit,v,al,am,i,t
valamit,va,l,a,m,it
valamit,va,l,a,mi,t
valamit,va,l,am,i,t
valamit,va,la,m,i,t
valamit,val,a,m,i,t
milyen,m,i,l,y,en
milyen,m,i,l,ye,n
milyen,m,il,y,e,n
milyen,mi,l,y,e,n
ilyen,i,l,y,e,n
biztos,b,i,z,t,os
biztos,b,i,z,to,s
biztos,bi,z,t,o,s
tudja,t,u,d,j,a
egész,e,g,é,s,z
sajnálom,s,a,j,n,álom
sajnálom,s,a,j,nál,om
sajnálom,s,aj,n,ál,om
sajnálom,s,aj,nál,o,m
sajnálom,sa,j,n,ál,om
sajnálom,sa,j,nál,o,m
mikor,m,i,k,o,r
vagyunk,v,a,g,yun,k
vagyunk,v,a,gyu,n,k
vagyunk,v,agy,u,n,k
vagyunk,va,g,y,un,k
vagyunk,va,g,yu,n,k
vannak,v,a,n,n,ak
vannak,v,a,n,na,k
vannak,v,an,n,a,k
vannak,va,n,n,a,k
azért,a,z,é,r,t
ember,e,m,b,e,r
történt,t,ö,rt,én,t
történt,tör,t,é,n,t
persze,p,er,s,z,e
mondta,m,o,n,d,ta
mondta,m,on,d,t,a
mondta,mo,n,d,t,a
értem,é,r,t,e,m
gyere,g,y,e,r,e
valaki,v,a,l,ak,i
valaki,v,a,la,k,i
valaki,v,al,a,k,i
valaki,va,l,a,k,i
ahogy,a,h,o,g,y
aztán,a,z,t,á,n
pedig,p,e,d,i,g
engem,e,n,g,e,m
ezért,e,z,é,r,t
velem,v,e,l,e,m
voltam,v,o,l,t,am
voltam,v,o,l,ta,m
