count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,vagyok,vagy,ok,17.650638580322266,8.578763008117676,23.562347412109375,5.001546382904053,6,4,2,5.920770110246304,6.075159207890405,4.570554614307831
2,miért,mi,ért,13.198513984680176,14.164270401000977,18.12871742248535,7.964560031890869,5,2,3,5.812709524483138,6.162454474887796,4.410439786210347
2,amit,a,mit,9.668376922607422,9.625166893005371,7.6241536140441895,16.471920013427734,4,1,3,5.633447245331146,7.140228930161251,5.950237760826466
2,valami,vala,mi,12.268077850341797,15.18576431274414,17.259078979492188,9.662402153015137,6,4,2,5.528711068416851,2.859138297294531,6.162454474887796
2,maga,mag,a,11.250394821166992,15.393409729003906,16.71656036376953,9.265996932983398,4,3,1,5.509914557741583,3.1755118133634475,7.140228930161251
2,semmi,sem,mi,11.15335750579834,13.146699905395508,15.724952697753906,5.319112777709961,5,3,2,5.478556395604729,5.652412675851883,6.162454474887796
2,amikor,a,mikor,16.539731979370117,15.72357177734375,7.420207500457764,11.85970401763916,6,1,5,5.467017300163925,7.140228930161251,5.334729119129206
2,amikor,ami,kor,13.79804801940918,15.225729942321777,16.256099700927734,9.891451835632324,6,3,3,5.467017300163925,5.425899239595614,3.4077307280263356
2,ami,a,mi,11.477335929870605,11.132407188415527,9.87657642364502,14.91411304473877,3,1,2,5.425899239595614,7.140228930161251,6.162454474887796
2,valamit,vala,mit,10.469826698303223,15.96981143951416,16.807147979736328,8.860176086425781,7,4,3,5.394962726756229,2.859138297294531,5.950237760826466
2,tudja,tudj,a,21.145973205566406,2.6531033515930176,21.474088668823242,5.782772541046143,5,4,1,5.360042149746207,3.1357685145678222,7.140228930161251
2,mikor,mi,kor,13.159287452697754,15.416523933410645,15.70980453491211,10.449750900268555,5,2,3,5.334729119129206,6.162454474887796,3.4077307280263356
2,azért,az,ért,12.935335159301758,13.831899642944336,18.060644149780273,12.741485595703125,5,2,3,5.319405900169903,6.741609849017849,4.410439786210347
2,ahogy,a,hogy,17.549842834472656,16.123388290405273,8.58049201965332,15.27674388885498,5,1,4,5.266139934641046,7.140228930161251,6.666654799202157
2,ezért,ez,ért,12.115498542785645,13.21144962310791,16.146697998046875,7.911196231842041,5,2,3,5.241539009870333,6.333684409097302,4.410439786210347
2,mindent,min,dent,16.2468318939209,19.144742965698242,16.28171730041504,13.320086479187012,7,3,4,5.220411464944205,4.121494186241665,2.5224442335063197
2,semmit,sem,mit,9.038715362548828,13.616458892822266,15.57744026184082,7.902890205383301,6,3,3,5.185598810582315,5.652412675851883,5.950237760826466
2,akarok,a,karok,17.987817764282227,15.339851379394531,7.394005298614502,11.033745765686035,6,1,5,5.164555082836377,7.140228930161251,2.6532125137753435
2,akarok,akar,ok,9.3687162399292,12.455784797668457,14.966577529907227,5.761937618255615,6,4,2,5.164555082836377,5.131564133553603,4.570554614307831
2,akarom,a,karom,18.340646743774414,15.586346626281738,6.7742204666137695,11.350692749023438,6,1,5,5.159257302008329,7.140228930161251,3.441852175773292
2,akar,a,kar,10.94273567199707,8.527704238891602,7.2460408210754395,14.789669036865234,4,1,3,5.131564133553603,7.140228930161251,3.2909245593827543
2,magát,ma,gát,16.05510139465332,16.241268157958984,12.801616668701172,14.558553695678711,5,2,3,5.13046242928158,5.35603733619072,2.8680563618230415
2,mintha,mint,ha,11.992613792419434,18.267858505249023,18.812728881835938,13.94463062286377,6,4,2,5.114834411621664,5.785544081564206,6.17849550526079
2,szerint,szer,int,9.130060195922852,13.219298362731934,15.61247444152832,6.090859413146973,7,4,3,5.085565270921542,3.13481437032046,2.4785664955938436
2,tudok,tud,ok,15.966764450073242,8.77561092376709,21.570924758911133,6.142401218414307,5,3,2,5.070440557290962,4.9824657172231515,4.570554614307831
2,mondja,mondj,a,15.234236717224121,3.2478668689727783,15.376410484313965,8.16660213470459,6,5,1,5.05303232126642,4.2452411489044595,7.140228930161251
2,egyszer,egy,szer,14.3917818069458,16.30927085876465,15.455957412719727,10.181755065917969,7,3,4,5.049683089088249,6.513669111473827,3.13481437032046
2,amíg,a,míg,15.404221534729004,16.746553421020508,8.12706470489502,10.872763633728027,4,1,3,5.043016276749773,7.140228930161251,4.705590054756337
2,rajta,rajt,a,14.904824256896973,7.530511379241943,15.604795455932617,8.997939109802246,5,4,1,5.010584021240992,3.1595671932336202,7.140228930161251
2,magad,mag,ad,11.848580360412598,13.08595085144043,14.891940116882324,6.07848596572876,5,3,2,4.981963498779465,3.1755118133634475,4.265996370495079
2,egyedül,egyed,ül,17.70570945739746,8.503717422485352,22.642658233642578,4.002927303314209,7,5,2,4.960841648374215,2.6009728956867484,4.029221394253928
2,akarod,a,karod,18.139366149902344,15.230952262878418,8.224745750427246,11.477110862731934,6,1,5,4.950272337850402,7.140228930161251,3.2489536154957075
2,micsoda,mi,csoda,19.639389038085938,22.699264526367188,12.313922882080078,8.438490867614746,7,2,5,4.942499148440218,6.162454474887796,4.095866453478543
2,voltál,volt,ál,12.566996574401855,12.958487510681152,17.017431259155273,6.974865436553955,6,4,2,4.935597944300309,6.085339464832654,2.622214022966295
2,ahol,a,hol,9.7155179977417,15.494590759277344,14.59980297088623,8.218937873840332,4,1,3,4.924940564426269,7.140228930161251,5.46656958913764
2,holnap,hol,nap,11.005035400390625,14.15069580078125,14.022287368774414,6.346614360809326,6,3,3,4.921197293721232,5.46656958913764,5.132003392986632
2,tehát,te,hát,17.764142990112305,20.63197898864746,12.168620109558105,11.821088790893555,5,2,3,4.914660430589222,5.976474700373688,5.473749657013478
2,pontosan,pont,osan,9.550504684448242,13.443493843078613,13.660014152526855,10.16235065460205,8,4,4,4.912949700526609,4.8608468811643055,2.630427875025024
2,azok,az,ok,12.697081565856934,13.425925254821777,16.519203186035156,7.565526962280273,4,2,2,4.910208050958166,6.741609849017849,4.570554614307831
2,mégis,még,is,18.305503845214844,8.239144325256348,23.777074813842773,5.044745922088623,5,3,2,4.908222218028237,5.993747400116358,6.274002353245673
2,fogok,fog,ok,11.752501487731934,12.84305191040039,16.838138580322266,6.362584114074707,5,3,2,4.907094123966944,5.393961071337533,4.570554614307831
2,akarja,a,karja,17.735469818115234,15.481561660766602,6.9809770584106445,11.172823905944824,6,1,5,4.895212531014988,7.140228930161251,3.1936810295412816
2,akarja,akarj,a,15.94795036315918,3.507035255432129,15.481561660766602,8.878787994384766,6,5,1,4.895212531014988,3.157456768134226,7.140228930161251
2,haver,ha,ver,10.02830696105957,14.381650924682617,14.368646621704102,8.882885932922363,5,2,3,4.891280930755138,6.17849550526079,3.394801777162711
2,fogja,fogj,a,17.56023597717285,3.610598564147949,16.960840225219727,8.26641845703125,5,4,1,4.890566318257052,3.166726055580052,7.140228930161251
2,hanem,ha,nem,9.176749229431152,16.289222717285156,15.615422248840332,8.437748908996582,5,2,3,4.863846077893716,6.17849550526079,6.8201463971789185
2,helló,hell,ó,14.755200386047363,15.50744342803955,20.020221710205078,9.450343132019043,5,4,1,4.863727220102147,2.709269960975831,5.3880727689225045
2,utolsó,utol,só,11.96704387664795,9.090374946594238,14.614605903625488,6.988372325897217,6,4,2,4.845594093160024,3.02201573981772,3.205745540942662
2,srácok,srác,ok,17.615917205810547,10.326948165893555,23.45172119140625,7.701865196228027,6,4,2,4.807047695515114,4.534762005030027,4.570554614307831
2,nagyszerű,nagy,szerű,15.121661186218262,20.554035186767578,11.283349990844727,6.728104114532471,9,4,5,4.803668748492695,5.362324109350866,2.595496221825574
2,halott,hal,ott,9.792898178100586,13.77204418182373,13.868208885192871,7.231686115264893,6,3,3,4.755089368015571,4.108158951256403,5.565865520533478
2,vagytok,vagy,tok,19.546632766723633,12.249608993530273,23.982221603393555,10.974344253540039,7,4,3,4.725446067324357,6.075159207890405,2.8779469516291885
2,készen,kés,zen,15.516032218933105,8.164145469665527,20.939098358154297,6.052410125732422,6,3,3,4.712961002740542,3.641077313325374,2.8721562727482928
2,mondott,mond,ott,9.62711238861084,13.068103790283203,14.387484550476074,6.441986083984375,7,4,3,4.708123336243728,4.603274316614141,5.565865520533478
2,majdnem,majd,nem,16.37466049194336,8.036139488220215,21.916275024414062,3.0276262760162354,7,4,3,4.703256977193307,5.525348059073878,6.8201463971789185
2,aha,a,ha,7.147243022918701,8.11720085144043,5.154390811920166,13.638768196105957,3,1,2,4.701956345192804,7.140228930161251,6.17849550526079
2,úgyhogy,úgy,hogy,13.154345512390137,13.499860763549805,14.436670303344727,10.070122718811035,7,3,4,4.701421180799489,5.821846818118055,6.666654799202157
2,szabad,szab,ad,14.832572937011719,4.564741611480713,14.541823387145996,10.229589462280273,6,4,2,4.699551569380153,2.383815365980431,4.265996370495079
2,valaha,vala,ha,10.431316375732422,15.598251342773438,16.636266708374023,7.682707786560059,6,4,2,4.694596425219048,2.859138297294531,6.17849550526079
2,hozzám,hozz,ám,17.067123413085938,8.977344512939453,22.369197845458984,6.7401814460754395,6,4,2,4.683164155812184,3.9587071910872846,4.292964545382929
2,érte,ér,te,10.912042617797852,12.997488021850586,15.182525634765625,9.199796676635742,4,2,2,4.678609416558926,4.4348402532975735,5.976474700373688
2,miután,mi,után,15.57174015045166,13.618590354919434,20.180360794067383,8.621931076049805,6,2,4,4.67618129723426,6.162454474887796,5.097968400835213
2,amint,a,mint,11.157920837402344,17.926959991455078,16.58699607849121,11.467097282409668,5,1,4,4.665796677689494,7.140228930161251,5.785544081564206
2,bármit,bár,mit,18.110736846923828,10.924399375915527,21.650108337402344,8.57297134399414,6,3,3,4.661926211738902,4.661964047212368,5.950237760826466
2,emlékszem,emlék,szem,11.962204933166504,9.753145217895508,15.38013744354248,7.943058490753174,9,5,4,4.657935030474059,3.4316853446860116,3.861295393526696
2,jelenti,jelen,ti,15.642844200134277,21.800090789794922,16.670875549316406,14.41115951538086,7,5,2,4.6570845497822315,4.004192356259714,4.868462219808566
2,mindjárt,mind,járt,16.689926147460938,20.79932403564453,11.217035293579102,6.171282768249512,8,4,4,4.65540738349723,4.963131168842824,4.4004516399569455
2,utána,után,a,12.616435050964355,19.170394897460938,15.924905776977539,15.340180397033691,5,4,1,4.642583217773558,5.097968400835213,7.140228930161251
2,bármi,bár,mi,17.87990379333496,11.66921615600586,21.85869026184082,9.628880500793457,5,3,2,4.642207230911346,4.661964047212368,6.162454474887796
2,akár,a,kár,17.884292602539062,16.599462509155273,6.775670528411865,10.074621200561523,4,1,3,4.639894693554849,7.140228930161251,4.25324105377265
2,akart,a,kart,9.975236892700195,15.824968338012695,14.394384384155273,8.804439544677734,5,1,4,4.636347455108831,7.140228930161251,2.9689496809813427
2,viszlát,visz,lát,11.472610473632812,9.839935302734375,15.258296966552734,9.353339195251465,7,4,3,4.63382180730168,3.727134423760489,4.081599312732936
2,éjjel,éj,jel,14.601001739501953,8.905078887939453,20.48485565185547,4.239793300628662,5,2,3,4.6268534146667255,3.3153404766272883,3.9860099318532614
2,csinál,csin,ál,17.33376693725586,8.493675231933594,23.34130096435547,5.377255439758301,6,4,2,4.610223520285089,2.5575072019056577,2.622214022966295
2,mióta,mi,óta,12.390440940856934,13.679113388061523,15.94013786315918,6.062021255493164,5,2,3,4.60496005993935,6.162454474887796,4.716504163773217
2,igazad,igaz,ad,15.242974281311035,8.135662078857422,20.975175857543945,6.917785167694092,6,4,2,4.603988314428608,5.38799101468911,4.265996370495079
2,tiszta,tiszt,a,17.415605545043945,10.569426536560059,21.428327560424805,8.76534652709961,6,5,1,4.601038198217794,3.752202153176521,7.140228930161251
2,igaza,igaz,a,16.023330688476562,4.355219841003418,14.88350772857666,8.720234870910645,5,4,1,4.590585505352095,5.38799101468911,7.140228930161251
2,végül,vég,ül,11.972579956054688,12.70509147644043,17.464933395385742,4.559939384460449,5,3,2,4.56850679679803,3.5085297189712867,4.029221394253928
2,halló,hal,ló,8.803692817687988,15.34849739074707,14.2256441116333,10.37686824798584,5,3,2,4.567414586029773,4.108158951256403,3.8073320392911905
2,halló,hall,ó,9.987911224365234,13.657292366027832,16.709651947021484,6.010793685913086,5,4,1,4.567414586029773,3.9927743642553555,5.3880727689225045
2,hamarosan,hamar,osan,16.75510597229004,8.600275039672852,22.478286743164062,6.980833053588867,9,5,4,4.566755583302415,4.124112792196785,2.630427875025024
2,egymást,egy,mást,19.1988525390625,23.0751895904541,12.971125602722168,13.888251304626465,7,3,4,4.557037765882228,6.513669111473827,4.58126680527367
2,vagyis,vagy,is,18.092952728271484,8.62282943725586,24.516145706176758,4.165078163146973,6,4,2,4.54559160369767,6.075159207890405,6.274002353245673
2,ismerem,is,merem,17.060712814331055,15.332311630249023,8.963098526000977,11.409122467041016,7,2,5,4.54024185611511,6.274002353245673,3.09795107099415
2,marad,mar,ad,11.455509185791016,13.311285972595215,15.97581958770752,8.195696830749512,5,3,2,4.537982711445016,3.1245042248342823,4.265996370495079
2,rendőrség,rend,őrség,25.358808517456055,25.73542594909668,13.095635414123535,7.377803325653076,9,4,5,4.53649531378562,3.4260230156898763,3.4584867637982066
2,akarta,akart,a,15.824968338012695,16.88180160522461,9.369239807128906,22.963436126708984,6,5,1,4.5354460332310165,4.636347455108831,7.140228930161251
2,érti,ér,ti,12.21442699432373,17.007156372070312,17.757312774658203,9.727777481079102,4,2,2,4.5298408406753365,4.4348402532975735,4.868462219808566
2,kérdés,kérd,és,22.234516143798828,4.48517370223999,21.908546447753906,7.459300994873047,6,4,2,4.523317161344198,3.449324093098727,6.556241936591766
2,keresztül,kereszt,ül,23.881027221679688,5.6563239097595215,28.403486251831055,4.283244609832764,9,7,2,4.519946063837529,3.141763230275788,4.029221394253928
2,egyszerű,egy,szerű,18.226837158203125,21.88043212890625,12.03853988647461,8.760245323181152,8,3,5,4.518342820465343,6.513669111473827,2.595496221825574
2,gondolja,gondolj,a,26.985836029052734,7.4060797691345215,22.004375457763672,10.595528602600098,8,7,1,4.516059173758283,4.080626486921806,7.140228930161251
2,mindketten,mind,ketten,17.700584411621094,20.32748031616211,12.128403663635254,5.666446208953857,10,4,6,4.51231076362811,4.963131168842824,4.4820012619602965
2,amire,a,mire,9.426947593688965,17.05287742614746,16.028261184692383,11.353625297546387,5,1,4,4.5087182089995625,7.140228930161251,4.931727314108543
2,mindegy,mind,egy,16.624528884887695,13.389039039611816,19.925962448120117,5.228694915771484,7,4,3,4.504892039388076,4.963131168842824,6.513669111473827
2,segítség,segíts,ég,16.452186584472656,8.241161346435547,22.22909927368164,3.5362627506256104,8,6,2,4.495696938186914,4.421554572419877,4.60959440922522
2,mármint,már,mint,16.0418701171875,11.161832809448242,22.666589736938477,7.961538314819336,7,3,4,4.488353265039028,6.011254016498379,5.785544081564206
