count_of_chunks,corpus,chunk1,chunk2,chunk3,euclidean_distance_chunk1_and_chunk2,euclidean_distance_chunk1_and_chunk3,euclidean_distance_chunk2_and_chunk3,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_chunk3,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,length_chunk3,logfreq_corpus,logfreq_chunk1,logfreq_chunk2,logfreq_chunk3
3,érdekel,ér,de,kel,12.92025089263916,9.674317359924316,12.417306900024414,20.88534164428711,23.30177879333496,20.589685440063477,8.232260704040527,7,2,2,3,4.800881968931169,4.4348402532975735,6.256956950858988,3.4756711883244296
3,rendőrség,rend,őrs,ég,23.068225860595703,12.374410629272461,22.413719177246094,25.73542594909668,19.826627731323242,27.990121841430664,8.29723834991455,9,4,3,2,4.53649531378562,3.4260230156898763,2.6532125137753435,4.60959440922522
3,tudjátok,tudj,át,ok,20.125446319580078,21.597646713256836,10.321622848510742,8.287138938903809,25.38089942932129,26.34743309020996,7.7464447021484375,8,4,2,2,4.451341170597793,3.1357685145678222,5.1193482825304715,4.570554614307831
3,barátok,bar,át,ok,9.351741790771484,11.2106351852417,10.321622848510742,23.692195892333984,23.34690284729004,24.716346740722656,13.131904602050781,7,3,2,2,4.412830002562326,2.998259338423699,5.1193482825304715,4.570554614307831
3,őszintén,ősz,int,én,12.363707542419434,10.984302520751953,9.238410949707031,20.77821922302246,23.125232696533203,22.07674217224121,7.986238956451416,8,3,3,2,4.342007929017339,3.121887985103681,2.4785664955938436,6.157086084559995
3,hallottad,hall,ott,ad,8.792851448059082,8.363858222961426,9.695343971252441,20.882831573486328,20.09967041015625,20.374013900756836,8.356456756591797,9,4,3,2,4.250834579996684,3.9927743642553555,5.565865520533478,4.265996370495079
3,maradok,mar,ad,ok,11.455500602722168,11.798447608947754,10.674763679504395,20.68217658996582,22.235340118408203,22.748550415039062,8.326154708862305,7,3,2,2,4.249271753073101,3.1245042248342823,4.265996370495079,4.570554614307831
3,bármikor,bár,mi,kor,17.879907608032227,18.219600677490234,13.159287452697754,10.376510620117188,21.851228713989258,21.729928970336914,11.624685287475586,8,3,2,3,4.1850035564918056,4.661964047212368,6.162454474887796,3.4077307280263356
3,szívességet,szív,ess,éget,15.701488494873047,15.933695793151855,9.76794719696045,14.334565162658691,27.922569274902344,27.23978042602539,7.878690719604492,11,4,3,4,4.156730826499419,3.900913067737669,3.188084373714938,3.0569048513364727
3,egyszerre,egy,szer,re,14.391792297363281,14.405681610107422,10.863202095031738,21.8211727142334,21.9044189453125,21.83354949951172,8.927396774291992,9,3,4,2,4.138018339614263,6.513669111473827,3.13481437032046,3.6036855496146996
3,nemsokára,nem,sok,ára,16.07965660095215,14.114839553833008,18.829082489013672,27.200366973876953,17.71045684814453,28.429445266723633,9.987215995788574,9,3,3,3,4.117039167877679,6.8201463971789185,5.299768711919799,3.7218106152125467
