count_of_chunks,corpus,chunk1,chunk2,chunk3,euclidean_distance_chunk1_and_chunk2,euclidean_distance_chunk1_and_chunk3,euclidean_distance_chunk2_and_chunk3,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_chunk3,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,length_chunk3,logfreq_corpus,logfreq_chunk1,logfreq_chunk2,logfreq_chunk3
3,rendben,ren,db,en,9.681741714477539,7.543768882751465,9.667762756347656,15.446174621582031,16.813644409179688,16.11973762512207,10.403095245361328,7,3,2,2,5.627367905146778,2.7937903846908188,2.4345689040341987,3.400192488592576
3,valami,va,la,mi,9.28817081451416,11.879396438598633,11.243485450744629,15.398375511169434,16.99755096435547,17.259078979492188,11.885180473327637,6,2,2,2,5.528711068416851,2.9334872878487053,3.957415714722669,6.162454474887796
3,köszönöm,kösz,ön,öm,16.951631546020508,16.896902084350586,11.248948097229004,10.85063648223877,23.49334716796875,22.966733932495117,11.741868019104004,8,4,2,2,5.490850045834308,4.823226362800612,5.066888466169809,2.9395192526186187
3,valamit,va,la,mit,9.28817081451416,10.360937118530273,10.689873695373535,16.304834365844727,17.619861602783203,16.807144165039062,10.367555618286133,7,2,2,3,5.394962726756229,2.9334872878487053,3.957415714722669,5.950237760826466
3,valamit,va,lam,it,9.250933647155762,11.364785194396973,10.87621021270752,16.304834365844727,16.948272705078125,17.804195404052734,11.471917152404785,7,2,3,2,5.394962726756229,2.9334872878487053,2.342422680822206,3.93379088414342
3,valamit,val,am,it,11.461723327636719,11.02115249633789,12.186079978942871,13.805703163146973,17.675487518310547,17.804195404052734,10.420352935791016,7,3,2,2,5.394962726756229,3.431524584187451,3.125806458139527,3.93379088414342
3,semmit,se,mm,it,8.671853065490723,10.12339973449707,10.256461143493652,15.439534187316895,15.45079231262207,16.658191680908203,11.17575454711914,6,2,2,2,5.185598810582315,5.185034756724982,3.625621081424908,3.93379088414342
3,szerintem,szer,int,em,9.130060195922852,10.37726879119873,9.978416442871094,20.792804718017578,22.20789909362793,22.792938232421875,7.318095684051514,9,4,3,2,5.179557535763198,3.13481437032046,2.4785664955938436,3.375114684692225
3,láttam,lá,tt,am,9.318066596984863,10.731505393981934,10.375823020935059,21.055164337158203,22.859935760498047,22.879520416259766,7.847866058349609,6,2,2,2,5.07178630475775,2.4456042032735974,2.673020907128896,3.125806458139527
3,istenem,is,te,nem,10.594688415527344,9.926655769348145,9.824827194213867,15.57863998413086,15.443578720092773,15.137334823608398,10.657390594482422,7,2,2,3,5.070115478260707,6.274002353245673,5.976474700373688,6.8201463971789185
3,istenem,is,ten,em,10.100407600402832,9.375523567199707,8.868599891662598,15.57863998413086,14.376079559326172,14.629873275756836,12.70109748840332,7,2,3,2,5.070115478260707,6.274002353245673,2.4871383754771865,3.375114684692225
3,istenem,ist,en,em,10.597865104675293,10.396031379699707,9.107437133789062,14.699657440185547,14.723396301269531,14.629873275756836,10.343342781066895,7,3,2,2,5.070115478260707,2.3944516808262164,3.400192488592576,3.375114684692225
3,akartam,ak,art,am,14.336736679077148,10.461478233337402,14.87002182006836,20.75282859802246,23.587743759155273,22.036190032958984,8.521943092346191,7,2,3,2,5.053335869212424,2.4871383754771865,3.1341771075767664,3.125806458139527
